url,html,tag_name,attributes,inner_text,is_visible,bounding_box,selector,suggested_action
https://www.automationexercise.com/,"<a href=""/""><img src=""/static/images/home/logo.png"" alt=""Website for automation practice""></a>",a,{'href': '/'},,True,"{'x': 61.818180084228516, 'y': 56.065338134765625, 'width': 262.9971580505371, 'height': 17.272727966308594}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/"" style=""color: orange;""><i class=""fa fa-home""></i> Home</a>",a,"{'href': '/', 'style': 'color: orange;'}", Home,True,"{'x': 471.81817626953125, 'y': 29.999998092651367, 'width': 56.73297119140625, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/products""><i class=""material-icons card_travel"" style=""font-size: 16px;""></i> Products</a>",a,{'href': '/products'}, Products,True,"{'x': 558.5510864257812, 'y': 29.999998092651367, 'width': 78.11083984375, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(2) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/view_cart""><i class=""fa fa-shopping-cart""></i> Cart</a>",a,{'href': '/view_cart'}, Cart,True,"{'x': 666.6619262695312, 'y': 29.999998092651367, 'width': 45.553955078125, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(3) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/login""><i class=""fa fa-lock""></i> Signup / Login</a>",a,{'href': '/login'}, Signup / Login,True,"{'x': 742.2158813476562, 'y': 29.999998092651367, 'width': 104.4886474609375, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(4) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/test_cases""><i class=""fa fa-list""></i> Test Cases</a>",a,{'href': '/test_cases'}, Test Cases,True,"{'x': 876.7045288085938, 'y': 29.999998092651367, 'width': 88.3948974609375, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(5) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/api_list""><i class=""fa fa-list""></i> API Testing</a>",a,{'href': '/api_list'}, API Testing,True,"{'x': 995.0994262695312, 'y': 29.999998092651367, 'width': 90.38348388671875, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(6) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""https://www.youtube.com/c/AutomationExercise""><i class=""fa fa-youtube-play""></i> Video Tutorials</a>",a,{'href': 'https://www.youtube.com/c/AutomationExercise'}, Video Tutorials,True,"{'x': 471.81817626953125, 'y': 59.999996185302734, 'width': 111.94598388671875, 'height': 20.000003814697266}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(7) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/contact_us""><i class=""fa fa-envelope""></i> Contact us</a>",a,{'href': '/contact_us'}, Contact us,True,"{'x': 613.76416015625, 'y': 59.999996185302734, 'width': 87.3721923828125, 'height': 20.000003814697266}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(8) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/test_cases"" class=""test_cases_list""><button type=""button"" class=""btn btn-success"">Test Cases</button></a>",a,"{'href': '/test_cases', 'class': 'test_cases_list'}",Test Cases,True,"{'x': 176.81817626953125, 'y': 479.7585144042969, 'width': 94.7301025390625, 'height': 17.272705078125}",#slider-carousel > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > a:nth-child(4),click
https://www.automationexercise.com/,"<a href=""/api_list"" class=""apis_list""><button type=""button"" class=""btn btn-success"">APIs list for practice</button></a>",a,"{'href': '/api_list', 'class': 'apis_list'}",APIs list for practice,True,"{'x': 275.0141906738281, 'y': 479.7585144042969, 'width': 151.33523559570312, 'height': 17.272705078125}",#slider-carousel > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > a:nth-child(5),click
https://www.automationexercise.com/,"<a href=""/test_cases"" class=""test_cases_list""><button type=""button"" class=""btn btn-success"">Test Cases</button></a>",a,"{'href': '/test_cases', 'class': 'test_cases_list'}",Test Cases,False,,#slider-carousel > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > a:nth-child(4),click
https://www.automationexercise.com/,"<a href=""/api_list"" class=""apis_list""><button type=""button"" class=""btn btn-success"">APIs list for practice</button></a>",a,"{'href': '/api_list', 'class': 'apis_list'}",APIs list for practice,False,,#slider-carousel > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > a:nth-child(5),click
https://www.automationexercise.com/,"<a href=""/test_cases"" class=""test_cases_list""><button type=""button"" class=""btn btn-success"">Test Cases</button></a>",a,"{'href': '/test_cases', 'class': 'test_cases_list'}",Test Cases,False,,#slider-carousel > div:nth-child(2) > div:nth-child(3) > div:nth-child(1) > a:nth-child(4),click
https://www.automationexercise.com/,"<a href=""/api_list"" class=""apis_list""><button type=""button"" class=""btn btn-success"">APIs list for practice</button></a>",a,"{'href': '/api_list', 'class': 'apis_list'}",APIs list for practice,False,,#slider-carousel > div:nth-child(2) > div:nth-child(3) > div:nth-child(1) > a:nth-child(5),click
https://www.automationexercise.com/,"<a href=""#slider-carousel"" class=""left control-carousel hidden-xs"" data-slide=""prev"">
							<i class=""fa fa-angle-left""></i>
						</a>",a,"{'href': '#slider-carousel', 'class': 'left control-carousel hidden-xs', 'data-slide': 'prev'}",,True,"{'x': 61.818180084228516, 'y': 353.4090881347656, 'width': 21.43465805053711, 'height': 85.710205078125}",#slider-carousel > a:nth-child(3),click
https://www.automationexercise.com/,"<a href=""#slider-carousel"" class=""right control-carousel hidden-xs"" data-slide=""next"">
							<i class=""fa fa-angle-right""></i>
						</a>",a,"{'href': '#slider-carousel', 'class': 'right control-carousel hidden-xs', 'data-slide': 'next'}",,True,"{'x': 1180.3834228515625, 'y': 353.4090881347656, 'width': 21.4346923828125, 'height': 85.710205078125}",#slider-carousel > a:nth-child(4),click
https://www.automationexercise.com/,"<a data-toggle=""collapse"" data-parent=""#accordian"" href=""#Women"">
											<span class=""badge pull-right""><i class=""fa fa-plus""></i></span>
											Women
										</a>",a,"{'data-toggle': 'collapse', 'data-parent': '#accordian', 'href': '#Women'}",WOMEN,True,"{'x': 82.7272720336914, 'y': 689.6022338867188, 'width': 52.28693389892578, 'height': 18.18182373046875}",#accordian > div:nth-child(1) > div:nth-child(1) > h4:nth-child(1) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/category_products/1"">Dress </a>",a,{'href': '/category_products/1'},Dress ,False,,#Women > div:nth-child(1) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/category_products/2"">Tops </a>",a,{'href': '/category_products/2'},Tops ,False,,#Women > div:nth-child(1) > ul:nth-child(1) > li:nth-child(2) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/category_products/7"">Saree </a>",a,{'href': '/category_products/7'},Saree ,False,,#Women > div:nth-child(1) > ul:nth-child(1) > li:nth-child(3) > a:nth-child(1),click
https://www.automationexercise.com/,"<a data-toggle=""collapse"" data-parent=""#accordian"" href=""#Men"">
											<span class=""badge pull-right""><i class=""fa fa-plus""></i></span>
											Men
										</a>",a,"{'data-toggle': 'collapse', 'data-parent': '#accordian', 'href': '#Men'}",MEN,True,"{'x': 82.7272720336914, 'y': 722.1875, 'width': 30.340904235839844, 'height': 18.1817626953125}",#accordian > div:nth-child(2) > div:nth-child(1) > h4:nth-child(1) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/category_products/3"">Tshirts </a>",a,{'href': '/category_products/3'},Tshirts ,False,,#Men > div:nth-child(1) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/category_products/6"">Jeans </a>",a,{'href': '/category_products/6'},Jeans ,False,,#Men > div:nth-child(1) > ul:nth-child(1) > li:nth-child(2) > a:nth-child(1),click
https://www.automationexercise.com/,"<a data-toggle=""collapse"" data-parent=""#accordian"" href=""#Kids"">
											<span class=""badge pull-right""><i class=""fa fa-plus""></i></span>
											Kids
										</a>",a,"{'data-toggle': 'collapse', 'data-parent': '#accordian', 'href': '#Kids'}",KIDS,True,"{'x': 82.7272720336914, 'y': 754.772705078125, 'width': 31.065338134765625, 'height': 18.18182373046875}",#accordian > div:nth-child(3) > div:nth-child(1) > h4:nth-child(1) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/category_products/4"">Dress </a>",a,{'href': '/category_products/4'},Dress ,False,,#Kids > div:nth-child(1) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1),click
https://www.automationexercise.com/,"<a href=""/category_products/5"">Tops &amp; Shirts </a>",a,{'href': '/category_products/5'},Tops & Shirts ,False,,#Kids > div:nth-child(1) > ul:nth-child(1) > li:nth-child(2) > a:nth-child(1),click
